,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_ordinal
0,-1.3273137503741947,1.0517172634499063,0.9821633124298519,-0.803812602122019,-0.97032521343305,-0.9733195161260458,-0.976833272273857,2.345162910425067,2.128818643716743,1.291350647510882
1,-1.3223225569909238,1.0423552622470444,-0.606210165496261,2.0421301959027685,1.3482759370790036,0.861339237553228,1.6703726236687726,2.332631613594577,1.3136260338638794,1.291350647510882
2,-1.3323049437574588,1.0376742616456152,1.8557687252892139,-0.5351892828680311,-0.8255609655505165,-0.8197694328455294,-0.8434266510356415,1.7829394332991606,1.258182540738924,1.291350647510882
3,-1.3372961371407297,1.0376742616456152,1.8557687252892139,-0.6235100675631242,-0.718767667932254,-0.765056184780058,-0.733562374721817,0.9329700016412189,1.1646216460905612,1.291350647510882
4,-1.3372961371407297,1.0376742616456152,1.8557687252892139,-0.4619699794938607,-0.6119743703139916,-0.7588788825791177,-0.6289297306134126,-0.013142909060729326,1.1724183873112581,1.291350647510882
5,-1.3372961371407297,1.0376742616456152,1.8557687252892139,-0.7859653969245649,-0.7709777245456267,-0.8930145875138218,-0.8015735933922797,0.08721277059856818,0.5443475667551202,1.291350647510882
6,-1.3372961371407297,1.0329932610441857,1.8557687252892139,-0.04645043284544337,-0.11597883248695046,-0.29205133053662813,0.03810337557766504,-0.11165575095083706,0.7999074178779625,1.291350647510882
7,-1.3372961371407297,1.0329932610441857,1.8557687252892139,0.21393571477895032,0.3539116770334043,-0.23645561072816526,0.3860069172381094,-0.3955054199137289,0.299183370593207,1.291350647510882
8,-1.3422873305240006,1.0329932610441857,1.0615819863261575,-0.03729801992367206,0.30170162042003157,-0.19321449532158305,0.2499844798971838,-0.9428808898707358,0.1718365973218245,1.291350647510882
9,-1.3372961371407297,1.0329932610441857,1.8557687252892139,0.41757690228836186,0.40137536486374314,0.11123825601047539,0.5612665961196868,-0.09475429598198384,0.469845372868461,1.291350647510882
10,-1.3422873305240006,1.0376742616456152,1.8557687252892139,-0.19883810799293564,-0.24650397402038232,-0.4544261312470593,-0.2548680279258671,-0.35175118602239835,0.646571507204257,1.291350647510882
11,-1.3422873305240006,1.0376742616456152,1.8557687252892139,0.3965263525682879,0.5081686624820057,0.06976208408987612,0.6135829181738889,-0.3162633958385754,0.3026485889135167,1.291350647510882
12,-1.3422873305240006,1.0376742616456152,1.8557687252892139,-0.06658574127334024,-0.1515765983597046,-0.2885214435646622,-0.08222416514699994,-0.4191990483747382,0.05748439275160351,1.291350647510882
13,-1.3422873305240006,1.0329932610441857,1.8557687252892139,-0.888014801002315,-0.8231877811589995,-0.953022666037242,-0.8512740993437719,-0.6305462142469416,-0.13483522402558634,1.291350647510882
14,-1.3422873305240006,1.0376742616456152,1.8557687252892139,0.002972596932121689,0.20914742915087076,-0.1879196648636342,0.31537988246493653,-1.0290730449611187,-0.4129189942304419,1.291350647510882
15,-1.3422873305240006,1.0376742616456152,1.6969313774966026,-0.6939836470607633,-0.6048548171394408,-0.6423926125042432,-0.6158506500998621,-0.919397871440491,-0.5792494736053089,1.291350647510882
16,-1.3472785239072644,1.0376742616456152,1.8557687252892139,-0.30683658046983703,-0.4529710160823564,-0.5576753251770618,-0.4405909712182848,-0.5771565714481339,-0.47096140109562984,1.291350647510882
17,-1.3472785239072644,1.0376742616456152,1.8557687252892139,-0.6445606172831982,-0.5811229732242713,-0.6856337279108254,-0.5138338220941678,-0.9219251918096653,-0.4449722636933069,1.291350647510882
